source_id,target_id,pair_id,label,cosine_tfidf,price_sim,price_num_equal,manufacturer_lev,manufacturer_jaccard,manufacturer_relaxed_jaccard,manufacturer_overlap,manufacturer_containment,manufacturer_token_jaccard,description_lev,description_jaccard,description_relaxed_jaccard,description_overlap,description_cosine_tfidf,description_containment,name_lev,name_jaccard,name_relaxed_jaccard,name_overlap,name_cosine_tfidf,name_containment
b000h241zg,http://www.google.com/base/feeds/snippets/18399328874850787866,b000h241zg-http://www.google.com/base/feeds/snippets/18399328874850787866,True,0.5439568073756357,0.9999881531908008,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3100262273961257,0.2345679012345679,0.26582278481012656,0.0,0.4335556648856025,0.6333333333333333,0.3939393939393939,0.3333333333333333,0.3333333333333333,0.0,0.5719536042603941,0.6666666666666666
b000bcicr0,http://www.google.com/base/feeds/snippets/17392222800642377551,b000bcicr0-http://www.google.com/base/feeds/snippets/17392222800642377551,True,0.5629714780522531,0.9999592585342174,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.28031021111589827,0.2463768115942029,0.3230769230769231,0.0,0.5231214277721468,0.5,0.5263157894736843,0.3,0.3,0.0,0.5603850449109699,0.6
b000mz7c2w,http://www.google.com/base/feeds/snippets/15648850844085647958,b000mz7c2w-http://www.google.com/base/feeds/snippets/15648850844085647958,True,0.5723485712694161,0.9994221068683321,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14786284849698508,0.08208955223880597,0.09022556390977443,0.0,0.4327096764425377,0.4583333333333333,0.4444444444444444,0.625,0.625,0.0,0.8041673981270847,1.0
b000ivl050,http://www.google.com/base/feeds/snippets/17758143132560820340,b000ivl050-http://www.google.com/base/feeds/snippets/17758143132560820340,True,0.6041398885248063,0.999825909694085,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23927962085308055,0.19047619047619047,0.19047619047619047,0.0,0.3212189481592096,0.8,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.0,0.8249826338587081,1.0
b000hlr9my,http://www.google.com/base/feeds/snippets/2255189038262879768,b000hlr9my-http://www.google.com/base/feeds/snippets/2255189038262879768,True,0.3573955025834233,0.9999994221068683,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04693965089030564,0.04153354632587859,0.05161290322580645,0.0,0.33280737571780955,0.8125,0.30681818181818177,0.36363636363636365,0.36363636363636365,0.0,0.3059139309696825,0.6666666666666666
b000ffsgho,http://www.google.com/base/feeds/snippets/4935901327541769811,b000ffsgho-http://www.google.com/base/feeds/snippets/4935901327541769811,True,0.40307385970962434,0.9999852637251425,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.20614479490112758,0.03773584905660377,0.057692307692307696,0.0,0.08784187384823303,0.07692307692307693,0.6027397260273972,0.5833333333333334,0.5833333333333334,0.0,0.7951050888757831,1.0
b000hbysc8,http://www.google.com/base/feeds/snippets/11343515411965421256,b000hbysc8-http://www.google.com/base/feeds/snippets/11343515411965421256,True,0.253535295423085,0.9976601107098767,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020387945595936464,0.043010752688172046,0.05054151624548736,0.0,0.28767078191399575,0.8571428571428571,0.25806451612903225,0.3333333333333333,0.3333333333333333,0.0,0.4446974235990213,0.5
b000hlt5g2,http://www.google.com/base/feeds/snippets/3274305083856247424,b000hlt5g2-http://www.google.com/base/feeds/snippets/3274305083856247424,True,0.2756206696729284,0.9999858416182741,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.1777777777777778,0.125,0.125,0.0,0.6543449632700714,1.0
b000egidue,http://www.google.com/base/feeds/snippets/18264347410665748173,b000egidue-http://www.google.com/base/feeds/snippets/18264347410665748173,True,0.5057342084008235,0.999780834029815,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2517666932570034,0.4,0.5,0.0,0.515585794799178,0.6,0.19512195121951215,0.1,0.1,0.0,0.1719832499059363,0.2
b00006iqth,http://www.google.com/base/feeds/snippets/13286819633533674312,b00006iqth-http://www.google.com/base/feeds/snippets/13286819633533674312,True,0.17213280808260112,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15685922889714363,0.0,0.0,0.0,0.005342828496161871,0.0,0.1428571428571429,0.3333333333333333,0.3333333333333333,0.0,0.7098588457211542,0.5
