subject_id,brand,description,specTableContent,title
16272671,,," Categorie Geheugen intern Merk Corsair Productserie Vengeance LPX Product Corsair Vengeance LPX CMK64GX4M4A2666C16 Uitvoering Corsair Vengeance LPX CMK64GX4M4A2666C16 EAN 0843591071833 SKU CMK64GX4M4A2666C16 Tweakers ID 467945 Productprijs € 749,- Pakketpost tot € 50,- € 0,- iDeal € 0,- Totaal € 749,- Onjuiste prijs melden Productprijs € 752,- Pakketpost (vanaf € 36,24) € 0,- iDeal € 0,- Totaal € 752,- Onjuiste prijs melden Productprijs € 747,95 Pakketpost 0-30 kg € 4,95 iDeal (vanaf € 10,-) € 0,- Totaal € 752,90 Onjuiste prijs melden Productprijs € 754,- Pakketpost NL DPD € 4,95 iDeal € 0,- Totaal € 758,95 Onjuiste prijs melden Productprijs € 762,95 Pakketpost Nederland € 0,- iDeal € 0,- Totaal € 762,95 Onjuiste prijs melden Productprijs € 759,- Pakketpost DPD € 3,95 iDeal € 0,- Totaal € 762,95 Onjuiste prijs melden Productprijs € 785,- Pakketpost € 0,- iDeal € 0,- Totaal € 785,- Onjuiste prijs melden Productprijs € 789,69 Pakketpost vanaf € 99,- € 5,95 iDeal € 0,50 Totaal € 796,14 Onjuiste prijs melden Productprijs € 802,23 Pakketpost € 0,- iDeal € 0,- Totaal € 802,23 Onjuiste prijs melden Productprijs € 822,- Pakketpost vanaf € 0,- iDeal € 0,- Totaal € 822,- Onjuiste prijs melden Productprijs € 826,- Pakketpost (vanaf € 29,-) € 0,- iDeal € 0,- Totaal € 826,- Onjuiste prijs melden Productprijs € 845,- Pakketpost > € 50,- € 0,- iDeal € 0,- Totaal € 845,- Onjuiste prijs melden"," ""Corsair Vengeance LPX CMK64GX4M4A2666C16 - Prijzen ""@NL Tweakers""@NL"
2551242,"""Corsair""@en","""DDR4, 2666MHz, CL16, 1.2v, XMP 2.0, Lifetime Warranty""@en "," Memory Type DDR4 (PC4-21300) Capacity 64GB (4 x 16GB) Tested Speed 2666MHz Tested Latency 16-18-18-35 Tested Voltage 1.2V Registered / Unbuffered Unbuffered Error Checking Non-ECC Memory Features XMP 2.0, Vengeance LPX Heatsink"," ""Corsair Vengeance LPX Black 64GB (4x16GB) DDR4 PC4-21300 2666MHz Quad Channel Kit ""@en 4x16GB | CMK64GX4M4A2666C16 Novatech""@en"
16476204,"""HP Enterprise"""," ""Description:10 x 72GB 2.5-inch Serial Attached SCSI (SAS) SFF3G Dual Port Hot-Plug 15K Hard Disk DriveFor G1-G7 Proliant SAS ServersGenuine HPE number and firmwareGenuine Certified DrivePart Number(s) Option Part# 418371-B21 Spare 418398-001 Assembly 504064-002 Model# DH0072BALWL""", Specifications: Category Proliant HardDrive Sub-Category 15K Generation SAS Part Number DH0072BALWL-10Pack Products ID 463272 Type Hard Drive - Hot-Swap Capacity 72GB Interface Type Serial Attached SCSI Spindle Speed 15000RPM," ""DH0072BALWL HP 72-GB 3G 15K 2.5 DP SAS"" ""Null"""
16757469,"""HP Enterprise""","""Description:2 x 72GB 2.5-inch Serial Attached SCSI (SAS) SFF3G Dual Port Hot-Plug 15K Hard Disk DriveFor G1-G7 Proliant SAS ServersGenuine HPE Serial number and firmwareGenuine HPE Certified Hard DrivePart Number(s)
Option Part# 418371-B21
Spare Part# 418398-001
Assembly Part# 504064-002
Model# DH0072BALWL"" ", Specifications: Category Proliant HardDrive Sub-Category 15K Generation SAS Part Number DH0072BALWL-2Pack Products ID 463270 Type Hard Drive - Hot-Swap Capacity 72GB Interface Type Serial Attached SCSI Spindle Speed 15000RPM," ""DH0072BALWL HP 72-GB 3G 15K 2.5 DP SAS"", ""Null"" ""New DH0072BALWL SAS 2 Pack Wholesale Price DH0072BALWL-2Pack"""
16442945,"""HP Enterprise"""," ""Description:Genuine HPE 1GB FBD PC2-5300(2x512MB) Single Rank Memory KitPart Number(s) Option Part# 397409-B21""", Specifications: Category Proliant Memory Sub-Category Genuine HP Memory Generation PC2-5300 Part Number 397409-B21 Products ID 142197 Storage Capacity 1GB (2 x 512) Upgrade Type System Specific Technology DDR II SDRAM Memory Speed 667MHz (PC2-5300) Rank Single Application Server Memory Server Model HP Proliant Compatibility HP Proliant Servers Manufacturer Hewlett-Packard HP Serial Number Yes HP Logo Yes Guaranteed Genuine HP Yes 397409-B21 Compatible Servers: BL20p G4 BL460c BL480c BL680c G5 DL140 G3 DL160 G5 DL180 DL360 G5 DL380 G5 DL580 G5 ML150 G3 ML350 G5 ML370," ""397409-B21 HP 1GB (2x512MB) PC2-5300 SDRAM"" ""Null"""
232007,"""SanDisk"""," ""SDSDJ-1024 BXP 1GB 9p SD Class 2 Secure Digital Card Bulk RFB""",," ""SanDisk SDSDJ-1024 BXP 1GB 9p SD Class 2 Secure Digital Card Bulk RFB"""
12411100,"""KINGSTON""",,," ""DISCO DURO SSD Kingston Technology SSDNow V300 120GB SATA3"" ""Comprar DISCO SATA3DISCO SATA3 - PowerPlanetOnline"""
2066119,,"""DISCO DURO INTERNO SOLIDO HDD SSD""@es ",," ""DISCO DURO INTERNO SOLIDO HDD SSD KINGSTON V300 120GB 2.5"" SATA 600""@es 600 - Inusnet.com Inside-Pc Baza""@es"
2639431,"""Corsair""",,," ""Corsair - Vengeance LPX 32GB (2 x 16GB) DDR4-3000 Memory"" Memory (CMK32GX4M2B3000C15) PCPartPicker"""
6656540,,,," ""Corsair Vengeance LED 32GB (2 x 16GB) DDR4 DRAM 3000MHz C15 Memory Kit - Red LED""@en MyNeXTComOnline""@en"
7936182,"""Intel""@en",,," "" Intel SSD DC P3600 Series ""@en, ""Intel (1.2TB, PCIe)""@en Prices - CNET""@en"
14426098,,"""The Intel solid-state drive data center family for SATA extends with the Intel SSD DC S3710 Series. The Intel SSD DC S3710 Series offers the next generation of data center SSDs optimized for write intensive performance with high endurance and strong data protection."" ",," ""Intel Solid-State Drive DC S3710 Series - solid state drive 800 GB SATA"" "" Intel SATA SSDSC2BA800G401 Solid State Drives (SSDs) CDW.com"
4451166,,"""Disco Duro 3.5 para ordenador sobremesa, 4TB, 5400RPM, SATA-6Gb/s, 64MB-cache""@es ",," ""WD Blue 4TB WD40EZRZ""@es"
280979,,"""This HDD for all your PC needs brings you outstanding excellence in personal computing."" ",," ""Seagate Barracuda ST2000DM006 - hard drive 2 TB SATA 6Gb/s"" "" Seagate 6Gb/s Internal Desktop Hard Drives CDW.com"
