subject_id,brand,description,specTableContent,title
5777153,,"""
                                    Con una tomaia in pelle di canguro ultra-morbida che si conforma al piede per un comfort, tocco e controllo della palla imbattibili, mentre una pelle sintetica Kanga-Lite sulla parte laterale del metatarso e sulla zona tallonare offre un maggiore supporto e minore peso e ritenzione dell'acqua. La tomaia utilizza l'innovativa tecnologia ACC che offre un ottimo controllo della palla in qualsiasi condizione di tempo.All'interno della scarpa, un sottopiede preformato con un maggiore sostegno del tallone e dell'arco plantare assicura un'ammortizzazione, un comfort ed una protezione dagli impatti ottimale.Una piastra con una configurazione di tacchetti direttamente iniettati, rettangolari sul tallone per una maggiore stabilità e conici sull'avampiede per una migliore rotazione e più comfort, assicura una trazione ottimale su campi naturali compatti.245 gramsSi prega di notare che queste scarpe calzano strette e le misure mostrate sono quelle da uomo per il Regno Unito e e da uomo e donna per gli Stati Uniti. Si prega di consultare la tabella di conversione qui di seguito per determinare la giusta taglia.REGNO UNITO UOMO / US UOMO / US DONNA4.5 / 5 / 75 / 5.5 / 7.55.5 / 6 / 86 / 6.5 / 8.56.5 / 7 / 97 / 7.5 / 9.5 
                                ""@it ",," ""Nike Tiempo Legend V FG - Blu Laguna/Bianco/Volt/Nero""@it "" Nike Scarpe Calcio Uomo Terreni Compatti Laguna/Bianco/Volt/Nero ""@it"
9725423,,"""
                                    With a purpose to cause relentless danger for the opposition, the Concave Volt+ Men’s boots feature a soft touch synthetic microfibre upper, which is extremely lightweight and offers a barefoot feel.Delivering devastating power and pinpoint accuracy, the Volt’s Concave Component sits on the upper part of the laces to improve your striking ability, providing a larger sweet spot for perfect contact on the ball when kicking for touch.The Volt+ includes F3 (Football Form Fit), which is a unique dual-lacing system technology that offers a supportive, custom fit to all foot shapes without contorting their natural form.For seamless comfort and efficient performance, the inside of the Volt has innovative fusion lining to maintain its construction, while removable shock-absorbing sock liners provide effective energy return to aid propulsion.Providing explosive traction, the Volt’s injection-moulded Pebax outsole is lightweight and flexible, while its hybrid stud soleplate features a mixture of bladed and metal studs to amplify your speed on soft natural surfaces.Please note that these are football boots, designed and constructed for the sport of football.
                                ""@en ",," ""Concave Volt + SG - Silver/Blue""@en "" Concave Mens Boots Soft Ground Silver/Blue ""@en"
8026601,,"""
                                    Progettata da Nike, la morbida tomaia in pelle naturale pieno fiore offre un'impareggiabile sensibilità sulla palla che è stata una distinta qualità delle Tiempo per quasi due decenni. Essa offre il massimo comfort e tocco, mentre la suola TPU con tacchetti lamati e conici garantisce un'ottima stabilità e trazione su campi naturali compatti. Fatte per durare, le Tiempo Legend VI godono di una comoda soletta in EVA e di un controtacco, per un maggiore sostegno dell'arco plantare e il massimo comfort.Caratteristiche:Tomaia in pelle pieno grano per un tocco eccellente e massimo comfort.Sottopiede in EVA  per il giusto sostegno dell'arco plantareControtacco interno in TPUSuola TPU con tacchetti lamati e conici studiata per uso su campi compatti
                                ""@it ",," ""Nike Tiempo Legend VI FG Junior - Nero/Bianco/Oro Metallico""@it "" Nike Scarpe Terreni Compatti Nero-Bianco-Oro Metallico ""@it"
7594816,,"""
                                    Tige en cuir synthétique doux.Semelle externe légère avec injections TPU, crampons coniques avec pointe métallique.Idéales pour terrain gras.
                                ""@fr ",," ""Puma Classico SG Enfants- Noir-Blanc-Puma Gold""@fr "" Chaussures de Football Enfant - Puma Junior Terrain Gras Crampons Gold 10335201 ""@fr"
6851546,,"""
                                    L'empeigne en maille de chaîne aérée est extensible et résistante, permettant ainsi une grande liberté de mouvements en tout confort.Les câbles Flywire maintiennent le pied lors des accélérations et mouvements rapides.La semelle extérieure Nike Free se distingue par sa conception tri-star s'élargissant et se rétractant en fonction des mouvements naturels du pied.
                                ""@fr ",," ""Nike Free Train Versatility - Blanc/ Noir""@fr "" Nike chaussures pour homme blanc noir ""@fr"
2339190,,,," ""Nike Flex 2016 Run - Rouge/ Noir/ Carmin/ Blanc""@fr "" Nike chaussures pour homme rouge noir carmin blanc ""@fr"
8880408,,,," ""Asics Gel-Zaraca 4 - Blu Methyl/Nero/Argento""@it "" Asics Scarpe Uomo Methyl/Nero/Argento ""@it"
1628491,,,," ""Asics Fuze X - Azul/Naranja""@es "" Asics Zapatillas de entrenamiento-Azul/Naranja ""@es"
6951403,,"""
                                    The kid's PUMA evoSPEED 5.5 football boots feature a synthetic upper to provide a boot that’s comfortable and low maintenance, while the lightweight TPU outsole with conical studs ensure reliable traction on firm natural ground surfaces.
                                ""@en ",," ""Puma Kids evoSPEED 5.5 FG - Puma Black/Puma White/Red Blast""@en "" Blast Youths Soccer Cleats Firm Ground ""@en"
3899621,,"""
                                    Buty evoSPEED 1.3 z edycji Dragon zawdzięczają swój groźny wygląd nadrukowi na zapiętku, przedstawiającemu smocze łuski oraz grafice w stylu tatuażu permanentnego. Język odzwierciedla flagę Kraju Wschodzącego Słońca. Wszystkie te elementy nadają temu designowi mityczny, wschodnioazjatycki charakter.Zaprojektowane z myślą o najszybszych zawodnikach, evoSpeed 1.3 to jedne z najlżejszych butów piłkarskich.Cholewka została wykonana z pojedynczej warstwy mikrofibry. Wysokiej jakości, lekki materiał o gładkim wykończeniu, zapewnia bliższy kontakt i lepsze czucie piłki.Przeźroczysty, trójwymiarowy nadruk GripTex, umieszczony na cholewce, daje lepszą kontrolę nad piłką podczas gry zarówno na mokrym, jak i suchym boisku.Wspierająca lekką cholewkę, zewnętrzna konstrukcja External EverFit Cage została umieszczona w środkowej części stopy. Zapewnia ona optymalny poziom elastyczności, doskonałą stabilność i większą trwałość.Zewnętrzny zapiętek umożliwia lepsze dopasowanie i stabilizuje okolice pięty.Dzięki technologii Puma evoAptoLast, buty dopasowują się do naturalnego kształtu stopy i idealnie do niej przylegają.Anatomicznie zaprojektowana podeszwa zewnętrzna z płytką Pebax Speedtrack daje lepszą zwrotność i poprawia szybkość reakcji.Żłobienia DuoFlex w przedniej części podeszwy, poprawiają elastyczność i kontakt z podłożem.Mniejsze, stożkowe, formowane kołki lepiej wgryzają się w ziemię i dają większą zwrotność na suchym podłożu z naturalnej trawy.Poziom: Pro - Profesjonalne
                                ""@pl ",," ""Buty Puma evoSPEED 1.3 Graphic FG - Biały-Zielony-Czerwony""@pl "" Korki Buty piłkarskie Twarde podłoże Trawa naturalna Lanki Biały-Zielony-Czerwony 10330401 ""@pl"
2773256,,"""
                                    Estas Nike Tiempo Legacy II FG tienen un suave empeine de piel de becerro, emblema de las Tiempo desde hace casi dos décadas, incluyen además nuevas tecnologías para un toque excepcional. Creadas con una horma anatómica con un talón interior, te dan un ajuste que agarra el pie, con una plantilla de alto rendimiento, que ofrece acolchado y soporte, para menor presión de los tacos y más comodidad. Suela completa de TPU diseñada para moverse con tu pie, junto con la planta para una suave transición del medio-pie a la punta y flexibilidad multidireccional.Características:Espuma moldeada alrededor de talónSuela de TPU flex para tracción y estabilidad.Suela anclada para un mejor ajustePiel con una espima interior con un sutil efecto acolchadoPlantilla de alto rendimiento
                                ""@es ",," ""Nike Tiempo Legacy II FG -Negro/Blanco/Dorado metalizado""@es "" Nike - Botas de futbol-Terrenos firmes-Negro/Blanco/Dorado metalizado ""@es"
