subject_id,brand,description,specTableContent,title
3297990,,, Categorie Wearables Merk TomTom Product TomTom Runner 2 Cardio Uitvoering Large Zwart (Zwart) EAN 0636926076593 SKU 1RF0.001.04 Tweakers ID 518227," ""TomTom Runner 2 Cardio Large Zwart (Zwart) - Prijzen ""@NL Tweakers""@NL"
2679850,"""
											Prada
									""@en","""
        This stunning Prada Papaya Saffiano Lux Leather Parabole Tote Bag BN2402 is one sophisticated piece. This durable and spacious tote features a structured tote shape with a rolled seam top, Saffiano lux leather and goldtone pieces. The interior is separated by a middle zip compartment and has several interior compartments to keep all of your essentials packed securely. Retail price is $1995.    
    					    
		    
		        The bottom and top corners show signs of wear. The back of the bag has a small mark on it (please refer to photo). The bottom metal feet have surface scratches and have started to dull at the center.  The hardware has minor hairline scratches. The handles show very minor creasing on the undersides. The interior is clean and in great condition throughout.		    
		    	
    
    ""@en "," Shipping Method Estimated Transit Time Fee per Order Standard (UPS Ground) 1-5 Business Days FREE Expedited (UPS 2 Day: Delivery on Monday - Friday) 2 Business Days  $24.95 APO/FPO, Alaska, and Hawaii (USPS Priority Insured) 6-10 Business Days FREE Canada (USPS Priority Insured) 6-10 Business Days* $19.95 Canada (USPS Express Insured) 3-5 Business Days* $29.95 International (USPS Priority Insured) 6-10 Business Days* $29.95 International (USPS Express Insured) 3-5 Business Days* $39.95"," "" Prada Papaya Saffiano Lux Leather Parabole Tote Bag BN2402 ""@en ""Prada - Yoogi's Closet""@en"
10132234,,"""<p>An intricate watch will always deliver sophistication and style- and this timepiece from Alpina brings you just that. This Gents’ watch can surely be an awe-striking piece once you lay eyes upon it. With a Rotating (diver time) bezel, this treasure represents delicate craftsmanship. The contrasting Black dial color adds a pronounced sense of luxury. Also important to note is the Scratch resistant sapphire crystal that protects the dial. With additional Central 60 second hand, Chronograph, Date, Small second hand complications to spice up this already brillliant timepiece, you’ll surely bring home a winner if you get yourself one of these beauties. The numbers in the face of the dial are in Indexes. It is also water resistant for 330 ft (100 meter). </p>
<p>This watch is just one of the many impressive pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of Alpina. We are available to clarify any specifications and look forward to hearing from you soon. </p>"" ",," ""Alpina Pilot Quartz Chronograph Watch AL-372LBBG4FBV6"" ""Shop Alpina AL-372LBN4V6 | Moyer Fine Jewelers"""
9453685,,"""<p>An elegant timepiece will never fail to express sophistication and style- and this timepiece from Alpina brings you just that. This Gents’ watch can definitely be an awe-striking piece once you lay eyes upon it. With a Polished bezel, this rarity represents thorough craftsmanship. The Stainless steel case that encloses this piece’s mechanism is also evidence of the quality that comes from this stylish item. The contrasting Navy blue dial color adds a bold sense of luxury. Also important to note is the Scratch resistant sapphire crystal that protects the dial. With additional Date, Chronograph, Central 60 second hand, Small second hand complications to spice up this already brillliant timepiece, you’ll surely bring home a winner if you get yourself one of these beauties. The numbers in the face of the dial are in Arabic, Indexes. It is also water resistant for 330 ft (100 meter). </p>
<p>This watch is just one of the many impressive pieces we have in store for you. Moyer Fine Jewelers is an authorized dealer of Alpina. We are available to clarify any specifications and look forward to hearing from you soon. </p>"" ",," ""Alpina Pilot Quartz Chronograph Watch AL-372N4FBS6"" ""Shop Alpina AL-372BMLY4FBS6 | Moyer Fine Jewelers"""
15970141,"""Daniel Wellington""@en",,," ""Classic Black Bristol Silver 36mm""@en ""Daniel Wellington Classic 36mm nur € 169.00""@en"
3930509,,," Meer informatie Prijs € 169,00 EAN 7350068244766 Merk Daniel Wellington Tijdsaanduiding Analoog Kleur wijzerplaat Zwart Geslacht Dames Materiaal kast Edel staal Vorm kast Rond Diameter kast 36 mm Dikte kast 6 mm Kleur kast Silver Materiaal Glas Mineraalglas Materiaal Band Leer Kleur band Zwart Breedte Band 18 mm Garantie 2 jaar Waterdicht 3 ATM"," ""Daniel Wellington Classic Lady Black Reading silver""@nl-NL silver | 10:35 Horloge boetiek""@nl-NL"
2088935,,,," ""Reloj Casio G-Shock GA-110MB-1AER"""
13239723,,," Гаранция: 24 месеца Корпус: Полимер Каишка: Полимер Водоустойчивост: 20 bar Вид: Мъжки Цвят: черен Вид показания: Аналогов + дигитален Стъкло: Минерално Основни функции: Хронометър Таймер Удароустойчив Магнитна устойчивост Световно време Аларма Календар 12/24 часов формат Осветяване Автоматично осветяване: Да Почасов сигнал: Да Изчислява средна скорост: Да Отложена аларма (snooze): Да Допълнителна информация: LED:Amber Точност: 15 ± секунди месечно Живот на батерията, приблизително: 3 години Батерия вид: CR1220 Размери: 55.1 X 52.5 X 16.7 мм Тегло: 76 гр."," ""Casio GA-201-1AER""@bg GA-201-1AER | G-Shock Stotak.com""@bg"
3731864,"""Nixon""@en",,," ""The Time Teller Chrono Black Sunray""@en ""Nixon The Sunray A9722348 nur € 151.20""@en"
9405678,,"""Comme le disait si bien Lil Wayne : Bling Bling, every time i come around yo city, Bling Bling !""@fr-fr ",," "" ZIIIRO MERCURY CHROME OCEAN ""@fr-fr, TOKYOFLASH KISAI SPIDER... CELESTE COLORED SATURN ""NIXON THE TIME TELLER GOLD / GREEN SUNRAY""@fr-fr, MR JONES CYCLOPS SUMMER NIGHT BLADE DARK... ECLIPSE ROSE SUN AND MOON COUNT DOWN CLOCK BLACK NIGHT... ROSEGOLD PURPLE GUNMETAL MINT MONO MARU... DAWN WEST DUSK LEMON LAST LAUGH /... SPACE... SATELLITE ADJUST... TRAVELLER LAUGH... ALL GOLD... AVERAGE DAYS GUNMETAL... ""@fr-fr SUNRAY - Chez maman""@fr-fr"
